area_type,Available month,Available status,availability,location,Sizes,bath,balcony,price,Total_Sqft
Super built-up  Area, ,Ready To Move,Ready To Move,Hennur,2 BHK,2,2,40.60,1041.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bommanahalli,2 BHK,2,2,46.00,1050.00
Super built-up  Area,March,Scheduled dates,18-Mar,Srinivas Colony,3 BHK,3,1,901.00,4400.00
Super built-up  Area,May,Scheduled dates,21-May,Kanakpura Road,2 BHK,2,3,64.39,1309.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dodda Nekkundi,2 BHK,2,2,45.00,1128.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,3 BHK,2,1,50.00,1430.00
Super built-up  Area,December,Scheduled dates,19-Dec,Old Madras Road,2 BHK,2,1,47.86,1065.00
Super built-up  Area, ,Ready To Move,Ready To Move,OMBR Layout,2 BHK,2,1,64.00,1085.00
Plot  Area, ,Ready To Move,Ready To Move,Vishveshwarya Layout,1 BHK,1,1,30.00,750.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,2 BHK,2,2,37.28,981.00
Carpet  Area,December,Scheduled dates,18-Dec,Bhoganhalli,4 BHK,4,1,129.00,1548.30
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal Kempapura,4 BHK,4,2,300.00,2302.00
Built-up  Area, ,Ready To Move,Ready To Move,Kalyan nagar,3 BHK,2,2,60.00,1410.00
Super built-up  Area,March,Scheduled dates,19-Mar,Hosa Road,3 BHK,3,1,117.00,1525.84
Super built-up  Area, ,Ready To Move,Ready To Move,Begur Road,2 BHK,2,2,42.60,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Sampangi Rama Nagar,2 BHK,2,2,80.00,1030.00
Super built-up  Area, ,Ready To Move,Ready To Move,BTM 1st Stage,3 BHK,2,Not Provided,95.00,1852.00
Built-up  Area,December,Scheduled dates,18-Dec,Electronic City,2 BHK,2,1,33.50,1160.00
Built-up  Area, ,Ready To Move,Ready To Move,Jigani,2 BHK,2,1,49.00,918.00
Plot  Area, ,Ready To Move,Ready To Move,HRBR Layout,6 BHK,6,3,250.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,JP Nagar,3 BHK,2,2,49.90,1150.00
Super built-up  Area, ,Ready To Move,Ready To Move,Indira Nagar,3 BHK,3,Not Provided,324.00,2700.00
Built-up  Area,March,Scheduled dates,18-Mar,Moodalapalya,2 BHK,2,2,69.00,1150.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,2,53.49,1227.00
Super built-up  Area,December,Scheduled dates,18-Dec,Hebbal,3 BHK,3,2,77.68,1255.00
Plot  Area, ,Ready To Move,Ready To Move,Moodalapalya,6 BHK,8,0,120.00,840.00
Super built-up  Area, ,Ready To Move,Ready To Move,Panathur,2 BHK,2,1,82.00,1198.00
Plot  Area, ,Ready To Move,Ready To Move, Devarachikkanahalli,3 BHK,3,1,160.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Nelamangala,4 BHK,3,1,95.00,2600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Pattandur Agrahara,2 BHK,2,1,32.00,797.00
Built-up  Area, ,Ready To Move,Ready To Move,Nayandanahalli,3 BHK,2,3,68.00,1350.00
Built-up  Area, ,Ready To Move,Ready To Move,Sahakara Nagar,4 BHK,4,Not Provided,200.00,2500.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thigalarapalya,3 BHK,4,2,160.00,2215.00
Super built-up  Area,December,Scheduled dates,21-Dec,Kanakpura Road,1 BHK,1,1,30.00,525.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bannerghatta Road,4 BHK,4,3,260.00,2700.00
Super built-up  Area, ,Ready To Move,Ready To Move,Gokaula Extension,3 BHK,2,1,90.00,1500.00
Plot  Area, ,Ready To Move,Ready To Move,Subash Nagar,2 BHK,2,0,55.00,900.00
Super built-up  Area, ,Ready To Move,Ready To Move,Poorna Pragna Layout,3 BHK,2,3,58.27,1355.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kudlu Gate,3 BHK,2,2,49.81,1465.00
Plot  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,2 BHK,2,1,57.00,1006.00
Built-up  Area, ,Ready To Move,Ready To Move,Vishveshwarya Layout,4 BHK,4,1,75.00,2000.00
Super built-up  Area,August,Scheduled dates,18-Aug,Electronic City,2 BHK,2,1,65.70,1128.00
Built-up  Area, ,Ready To Move,Ready To Move,Pattanagere,2 BHK,2,0,35.00,850.00
Super built-up  Area, ,Ready To Move,Ready To Move,ISRO Layout,3 BHK,2,3,68.00,1310.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari,2 BHK,2,2,86.00,1390.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kathriguppe,3 BHK,2,2,76.45,1390.00
Plot  Area, ,Ready To Move,Ready To Move,Marathahalli,4 BHK,4,2,325.00,2396.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,33.00,1170.00
Super built-up  Area, ,Ready To Move,Ready To Move,Gottigere,3 BHK,2,2,50.00,1385.00
Super built-up  Area, ,Ready To Move,Ready To Move,Old Madras Road,2 BHK,2,1,42.00,1160.00
Super built-up  Area,May,Scheduled dates,18-May,Electronic City Phase II,2 BHK,2,1,33.50,1160.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bannerghatta Road,3 BHK,2,2,69.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mahadevpura,2 BHK,2,2,55.00,1475.00
Built-up  Area,July,Scheduled dates,20-Jul,Sarjapur  Road,3 BHK,3,0,98.00,1939.00
Built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,2 BHK,2,2,42.00,850.00
Built-up  Area,May,Scheduled dates,17-May,Balagere,1 BHK,1,1,45.00,675.00
Built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,51.00,1060.00
Super built-up  Area,June,Scheduled dates,18-Jun,Whitefield,2 BHK,2,2,47.00,1235.00
Plot  Area,May,Scheduled dates,18-May,RTO ullalu,2 BHK,4,1,110.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Austin Town,2 BHK,2,1,60.00,1250.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari,2 BHK,2,3,70.00,1460.00
Super built-up  Area, ,Ready To Move,Ready To Move,Akshaya Nagar,3 BHK,3,2,85.00,1690.00
Built-up  Area, ,Ready To Move,Ready To Move,Indira Nagar,1 BHK,1,2,57.00,850.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,3,2,82.00,1843.00
Built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,3 BHK,3,2,117.00,1680.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli,2 BHK,2,1,84.00,1047.00
Super built-up  Area,June,Scheduled dates,18-Jun,8th Phase JP Nagar,2 BHK,2,2,35.00,1100.00
Plot  Area, ,Ready To Move,Ready To Move,Indira Nagar,8 BHK,8,1,600.00,3250.00
Super built-up  Area, ,Ready To Move,Ready To Move,Nagarbhavi,2 BHK,2,3,53.00,1120.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,38.33,1095.00
Super built-up  Area,October,Scheduled dates,19-Oct,Carmelaram,2 BHK,2,2,35.00,970.00
Plot  Area, ,Ready To Move,Ready To Move,Bommanahalli,5 BHK,7,2,125.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Hosa Road,3 BHK,2,3,85.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Uttarahalli,3 BHK,3,2,85.00,1685.00
Built-up  Area, ,Ready To Move,Ready To Move,Doddanekundi,2 BHK,2,1,59.00,1148.00
Built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,1,65.00,1050.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bannerghatta Road,3 BHK,2,1,76.00,1465.00
Plot  Area, ,Ready To Move,Ready To Move,Kothanur,4 BHK,5,Not Provided,230.00,3401.00
Built-up  Area,December,Scheduled dates,17-Dec,Electronic City,1 BHK,1,1,60.00,630.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,3 BHK,3,1,150.00,1850.00
Plot  Area, ,Ready To Move,Ready To Move,Vidyaranyapura,9 BHK,9,Not Provided,175.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Cottonpet,4 BHK,2,1,225.00,1750.00
Built-up  Area, ,Ready To Move,Ready To Move,Shikaripalya,3 BHK,3,1,60.00,1350.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sector 7 HSR Layout,3 BHK,3,2,160.00,1760.00
Super built-up  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,2 BHK,2,2,185.00,1440.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari Stage III,2 BHK,2,0,42.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Hennur Bande,2 BHK,2,1,78.00,1100.00
Built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,2 BHK,2,2,46.00,1140.00
Super built-up  Area,August,Scheduled dates,19-Aug,Hormavu,3 BHK,3,0,73.60,1617.50
Super built-up  Area, ,Ready To Move,Ready To Move,Gottigere,2 BHK,2,2,45.00,1410.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mahadevpura,3 BHK,2,1,67.39,1434.00
Plot  Area, ,Ready To Move,Ready To Move,"ravindra nagar, T.dasarahalli peenya",2 BHK,2,2,74.00,1180.00
Super built-up  Area, ,Ready To Move,Ready To Move,EPIP Zone,2 BHK,2,2,86.00,1343.00
Built-up  Area, ,Ready To Move,Ready To Move,LB Shastri Nagar,2 BHK,2,1,69.00,1184.00
Super built-up  Area, ,Ready To Move,Ready To Move,Koramangala,3 BHK,3,0,300.00,2246.00
Built-up  Area, ,Ready To Move,Ready To Move,Rajankunte,3 BHK,4,3,200.00,4510.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,4 BHK,5,Not Provided,280.00,3785.00
Super built-up  Area, ,Ready To Move,Ready To Move,1st Block BEL Layout,3 BHK,3,2,85.00,1540.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,3,3,65.11,1550.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelahanka,3 BHK,2,1,57.00,1345.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City Phase II,3 BHK,2,2,45.00,975.00
Super built-up  Area,August,Scheduled dates,18-Aug,JP Nagar,2 BHK,2,1,34.56,1152.00
Built-up  Area, ,Ready To Move,Ready To Move,Old Airport Road,4 BHK,4,2,700.00,3200.00
Super built-up  Area,December,Scheduled dates,19-Dec,Kodathi,3 BHK,2,2,31.50,1033.00
Super built-up  Area, ,Ready To Move,Ready To Move,Richards Town,3 BHK,3,0,230.00,1800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,2,53.67,1102.00
Super built-up  Area, ,Ready To Move,Ready To Move,Subramanyapura,3 BHK,2,2,42.81,1223.00
Super built-up  Area,March,Scheduled dates,18-Mar,Kadugodi,3 BHK,3,3,112.00,1762.00
Built-up  Area, ,Ready To Move,Ready To Move,Kengeri Satellite Town,2 BHK,2,1,16.60,560.00
Built-up  Area, ,Ready To Move,Ready To Move,KR Puram,6 BHK,6,0,85.00,2000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,2,2,38.00,1410.00
Super built-up  Area,December,Scheduled dates,19-Dec,Thanisandra,3 BHK,3,1,64.86,1853.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothanur,2 BHK,2,Not Provided,69.00,1455.00
Super built-up  Area,January,Scheduled dates,18-Jan,Hebbal,2 BHK,2,1,110.00,1138.00
Built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,2,169.00,2556.00
Super built-up  Area,May,Scheduled dates,18-May,TC Palaya,3 BHK,2,0,66.50,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Anantapura,2 BHK,2,2,37.00,1200.00
Super built-up  Area,June,Scheduled dates,19-Jun,Whitefield,3 BHK,3,2,138.00,1870.00
Super built-up  Area,May,Scheduled dates,18-May,Panathur,2 BHK,2,1,86.00,1199.00
Plot  Area, ,Ready To Move,Ready To Move,Prakruthi Township,6 BHK,8,Not Provided,150.00,800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Doddakallasandra,3 BHK,2,2,54.40,1360.00
Super built-up  Area, ,Ready To Move,Ready To Move,Babusapalaya,3 BHK,3,3,53.00,1230.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hosahalli Extension,3 BHK,3,2,120.00,2000.00
Plot  Area, ,Ready To Move,Ready To Move,Kasturi Nagar,4 BHK,4,2,250.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli,2 BHK,2,1,83.00,1047.00
Plot  Area,March,Scheduled dates,18-Mar,Electronic City Phase II,4 BHK,4,Not Provided,260.00,6000.00
Plot  Area,February,Scheduled dates,18-Feb,Ramamurthy Nagar,2 BHK,2,1,76.00,1200.00
Super built-up  Area,January,Scheduled dates,18-Jan,Kengeri Satellite Town,2 BHK,2,0,44.29,1302.50
Super built-up  Area, ,Ready To Move,Ready To Move,Kengeri,2 BHK,2,1,30.00,725.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jakkur,3 BHK,3,1,100.00,1645.00
Built-up  Area, ,Ready To Move,Ready To Move,Sultan Palaya,2 BHK,2,1,65.00,870.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,1,49.95,1026.00
Built-up  Area,July,Scheduled dates,18-Jul,Bennigana Halli,3 BHK,3,1,145.00,2000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Cooke Town,2 BHK,2,2,200.00,1710.00
Super built-up  Area,April,Scheduled dates,18-Apr,Hosur Road,3 BHK,3,1,130.00,1766.00
Super built-up  Area, ,Ready To Move,Ready To Move,Makali,1 BHK,1,1,15.00,500.00
Built-up  Area,April,Scheduled dates,18-Apr,JP Nagar,2 BHK,1,1,15.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jigani,3 BHK,3,3,52.00,1221.00
Super built-up  Area, ,Ready To Move,Ready To Move,Rachenahalli,1 BHK,1,1,46.00,680.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,2,90.00,1278.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kodichikkanahalli,2 BHK,2,2,66.00,1025.00
Super built-up  Area,August,Scheduled dates,18-Aug,Whitefield,2 BHK,2,1,39.00,1175.00
Super built-up  Area,July,Scheduled dates,19-Jul,Sarjapur  Road,2 BHK,2,0,28.28,975.00
Built-up  Area, ,Ready To Move,Ready To Move,6th Phase JP Nagar,1 BHK,1,1,75.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Seethappa Layout,2 BHK,2,1,42.00,850.00
Super built-up  Area, ,Ready To Move,Ready To Move,Anjanapura,2 BHK,2,0,25.00,710.00
Built-up  Area,December,Scheduled dates,18-Dec,Huskur,2 BHK,2,1,33.64,1165.00
Super built-up  Area,April,Scheduled dates,18-Apr,Sarjapur,1 BHK,1,1,19.00,625.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,3 BHK,3,1,66.00,1340.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ananth Nagar,2 BHK,2,1,35.00,937.00
Plot  Area, ,Ready To Move,Ready To Move,Lakkasandra,7 BHK,6,0,210.00,1500.00
Super built-up  Area, ,Ready To Move,Ready To Move,JP Nagar,1 BHK,1,1,52.50,750.00
Built-up  Area, ,Ready To Move,Ready To Move,Shampura,3 BHK,3,3,78.00,1475.00
Plot  Area, ,Ready To Move,Ready To Move,Singapura Village,4 BHK,4,1,130.00,2230.00
Plot  Area, ,Ready To Move,Ready To Move,Jnanabharathi Layout,4 BHK,5,1,100.00,2200.00
Plot  Area, ,Ready To Move,Ready To Move,Mysore Road,2 BHK,2,0,65.00,900.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City Phase II,2 BHK,2,2,37.00,1116.00
Built-up  Area, ,Ready To Move,Ready To Move,Hoodi,2 BHK,2,1,75.00,948.00
Super built-up  Area, ,Ready To Move,Ready To Move,R.T. Nagar,2 BHK,2,1,55.00,970.00
Super built-up  Area, ,Ready To Move,Ready To Move,Akshayanagara East,3 BHK,3,2,67.23,1519.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,2,1,65.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bhoganhalli,3 BHK,3,2,127.00,1760.00
Plot  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,5,3,525.00,4400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sahakara Nagar,3 BHK,3,3,179.00,1914.00
Super built-up  Area, ,Ready To Move,Ready To Move,Budigere,3 BHK,3,2,85.50,1820.00
Built-up  Area, ,Ready To Move,Ready To Move,Kalena Agrahara,3 BHK,3,2,78.00,1565.00
Super built-up  Area, ,Ready To Move,Ready To Move,Begur Road,2 BHK,2,3,42.69,1334.00
Super built-up  Area,March,Scheduled dates,19-Mar,Sarakki Nagar,2 BHK,2,2,76.23,924.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jigani,2 BHK,2,2,49.00,914.00
Built-up  Area, ,Ready To Move,Ready To Move,Kengeri,1 BHK,1,1,17.00,500.00
Super built-up  Area,March,Scheduled dates,18-Mar,Yelahanka,3 BHK,3,3,125.00,2145.00
Plot  Area, ,Ready To Move,Ready To Move,Yelahanka,5 BHK,5,Not Provided,162.00,1200.00
Built-up  Area,April,Scheduled dates,18-Apr,Electronic City,3 BHK,3,2,100.00,1650.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,4 BHK,4,3,220.00,3940.00
Built-up  Area,December,Scheduled dates,18-Dec,Electronic City,2 BHK,2,1,29.45,1020.00
Built-up  Area, ,Ready To Move,Ready To Move,Basaveshwara Nagar,2 BHK,2,3,58.00,1180.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ulsoor,2 BHK,2,3,120.00,1255.00
Super built-up  Area,July,Scheduled dates,20-Jul,Langford Gardens,3 BHK,5,2,650.00,2777.29
Super built-up  Area, ,Ready To Move,Ready To Move,Bommasandra,2 BHK,2,1,35.00,1014.00
Built-up  Area, ,Ready To Move,Ready To Move,Shampura,4 BHK,2,0,90.00,920.00
Super built-up  Area, ,Ready To Move,Ready To Move,Attibele,2 BHK,1,1,25.00,695.00
Plot  Area, ,Ready To Move,Ready To Move,Prithvi Layout,3 BHK,4,3,220.00,2273.00
Super built-up  Area,March,Scheduled dates,18-Mar,GM Palaya,2 BHK,2,2,48.95,1140.00
Built-up  Area, ,Ready To Move,Ready To Move,Giri Nagar,6 BHK,4,1,375.00,3000.00
Super built-up  Area,August,Scheduled dates,20-Aug,Begur Road,4 BHK,4,2,152.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Attibele,2 BHK,1,1,25.00,850.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari,2 BHK,2,1,60.00,1200.00
Built-up  Area,December,Scheduled dates,18-Dec,"Bellandur, ",4 BHK,4,3,206.00,3160.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hoodi,3 BHK,3,3,96.87,1769.00
Carpet  Area,December,Scheduled dates,18-Dec,Bhoganhalli,4 BHK,4,1,131.00,1554.30
Super built-up  Area, ,Ready To Move,Ready To Move,Haralur Road,2 BHK,2,2,46.00,1243.00
Plot  Area,April,Scheduled dates,18-Apr,2nd Block Jayanagar,4 BHK,5,2,1150.00,4920.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mallasandra,2 BHK,2,1,40.00,905.00
Built-up  Area, ,Ready To Move,Ready To Move,Kothanur,1 BHK,1,1,30.00,627.00
Built-up  Area,March,Scheduled dates,18-Mar,Domlur,3 BHK,3,2,285.00,2180.00
Super built-up  Area, ,Ready To Move,Ready To Move,Frazer Town,3 BHK,3,2,260.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,3 BHK,3,1,73.00,1435.00
Super built-up  Area,May,Scheduled dates,22-May,Jakkur,4 BHK,6,3,400.00,3405.10
Built-up  Area, ,Ready To Move,Ready To Move,Kodihalli,3 BHK,3,2,130.00,1620.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,3 BHK,3,2,125.00,1862.00
Super built-up  Area,November,Scheduled dates,19-Nov,Kaikondrahalli,2 BHK,1,1,19.90,674.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,1,59.00,1220.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,49.00,1025.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,2,3,54.50,1430.00
Super built-up  Area, ,Ready To Move,Ready To Move,Panathur,2 BHK,2,3,65.00,1235.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,3 BHK,2,3,32.00,1291.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,3,2,95.00,1498.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,2,240.00,2180.00
Super built-up  Area,April,Scheduled dates,18-Apr,Electronic City,2 BHK,2,1,29.70,1000.00
Plot  Area, ,Ready To Move,Ready To Move,Ejipura,2 BHK,2,1,70.00,922.00
Built-up  Area, ,Ready To Move,Ready To Move,Victoria Layout,2 BHK,2,1,72.00,850.00
Plot  Area, ,Ready To Move,Ready To Move,New Thippasandra,3 BHK,3,2,155.00,750.00
Super built-up  Area, ,Ready To Move,Ready To Move,AECS Layout,2 BHK,2,2,64.00,1123.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,75.00,1235.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kogilu,2 BHK,2,1,55.55,1250.00
Plot  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,5,Not Provided,360.00,2403.00
Super built-up  Area,November,Scheduled dates,18-Nov,Sarjapur  Road,2 BHK,2,1,45.91,984.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,1,99.00,1305.00
Plot  Area, ,Ready To Move,Ready To Move,Attur Layout,2 BHK,1,0,65.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,1st Block HRBR Layout,3 BHK,3,1,90.00,600.00
Super built-up  Area,June,Scheduled dates,19-Jun,Hebbal,4 BHK,5,3,204.00,2790.00
Super built-up  Area, ,Ready To Move,Ready To Move,Old Madras Road,4 BHK,3,2,125.00,2010.00
Built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,2 BHK,2,0,42.00,995.00
Built-up  Area, ,Ready To Move,Ready To Move,Varthur Road,2 BHK,2,2,59.00,1277.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,2 BHK,2,2,61.33,1236.00
Super built-up  Area, ,Ready To Move,Ready To Move,Akshaya Nagar,2 BHK,2,3,67.00,1265.00
Built-up  Area, ,Ready To Move,Ready To Move,Gubbalala,5 BHK,4,Not Provided,141.00,2570.00
Plot  Area, ,Ready To Move,Ready To Move,Hennur Road,4 BHK,5,3,390.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Shikaripalya,3 BHK,3,2,56.24,1442.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ardendale,2 BHK,2,2,70.00,1224.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,2 BHK,2,1,59.00,1205.00
Super built-up  Area, ,Ready To Move,Ready To Move,Richmond Town,2 BHK,2,3,100.00,1233.00
Super built-up  Area, ,Ready To Move,Ready To Move,5th Block Hbr Layout,2 BHK,2,3,69.00,1312.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,3,2,90.00,1449.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelenahalli,2 BHK,2,1,54.00,1090.00
Plot  Area, ,Ready To Move,Ready To Move,Kaggadasapura,5 BHK,5,0,150.00,2100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Uttarahalli,3 BHK,2,3,62.55,1390.00
Super built-up  Area, ,Ready To Move,Ready To Move,JP Nagar,2 BHK,2,3,78.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,Mallasandra,4 BHK,2,2,50.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,BTM 2nd Stage,2 BHK,2,2,58.00,1000.00
Plot  Area,October,Scheduled dates,18-Oct,Devanahalli,4 BHK,5,2,190.00,2400.00
Super built-up  Area,December,Scheduled dates,21-Dec,Thanisandra,3 BHK,3,1,85.73,1732.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari,2 BHK,2,2,80.00,1290.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marasandra,3 BHK,3,3,85.00,1840.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,4,2,100.00,1917.00
Built-up  Area, ,Ready To Move,Ready To Move,Bhuvaneshwari Nagar,2 BHK,2,2,57.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kudlu,3 BHK,2,3,60.00,1455.00
Plot  Area, ,Ready To Move,Ready To Move,Haralur Road,5 BHK,5,Not Provided,255.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move, Devarachikkanahalli,3 BHK,2,2,65.00,1425.00
Super built-up  Area,December,Scheduled dates,18-Dec,Whitefield,3 BHK,3,1,113.00,1655.00
Super built-up  Area,March,Scheduled dates,18-Mar,Haralur Road,4 BHK,5,3,160.00,2805.00
Built-up  Area, ,Ready To Move,Ready To Move,R.T. Nagar,7 BHK,7,3,93.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,AGS Layout,2 BHK,2,1,46.79,1040.00
Super built-up  Area, ,Ready To Move,Ready To Move,Akshaya Nagar,2 BHK,2,1,55.00,1126.00
Plot  Area, ,Ready To Move,Ready To Move,Kodichikkanahalli,6 BHK,4,1,200.00,1600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal,2 BHK,2,1,55.55,1250.00
Plot  Area, ,Ready To Move,Ready To Move,Yelahanka,4 BHK,4,2,180.00,1800.00
Plot  Area, ,Ready To Move,Ready To Move,Kalkere Channasandra,2 BHK,2,0,53.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Ashirvad Colony,4 BHK,3,1,100.00,2050.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,1 BHK,1,1,29.44,530.00
Built-up  Area,June,Scheduled dates,19-Jun,Sarjapur,4 BHK,4,0,139.50,2585.50
Super built-up  Area, ,Ready To Move,Ready To Move,Kambipura,2 BHK,2,1,37.00,883.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sompura,3 BHK,3,1,59.00,1275.00
Super built-up  Area, ,Ready To Move,Ready To Move,Doddabanahalli,2 BHK,2,2,30.00,800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Devanahalli,1 BHK,1,0,95.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,2 BHK,2,1,58.00,1063.00
Super built-up  Area, ,Ready To Move,Ready To Move,Balagere,1 BHK,1,1,43.00,656.00
Super built-up  Area, ,Ready To Move,Ready To Move,Shakthi Nagar,2 BHK,2,2,36.00,1125.00
Super built-up  Area,December,Scheduled dates,18-Dec,Marathahalli,2 BHK,2,1,48.06,881.00
Plot  Area, ,Ready To Move,Ready To Move,Nayandanahalli,9 BHK,8,2,200.00,1350.00
